אִיתָא,יש
אָבָר,עופרת
אאגורייהו,על שוכריהם
אאפה,על פּניהַ
אאפיה,(= א אפיה) על פניו
אארעא,על הארץ
אבא,יער
אבא,פְּרִי
אבאשתון,הֲרֵעֹתֶם
אבבא,בשער
אבדרנון,אֲפִיצֵם
אבה,פִּרְיוֹ
אבהן,אבות
אבהתי,אֲבֹתָי
אבהתך,אֲבֹתֶיךָ
אבהתנא,אֲבֹתֵינוּ
אבובא,עוּגָב
אבוה,אָבִיהָ
אבוהא,"אבא של, אָבִיה"
אבוהון,אֲבִיהֶם
אבוהי,"אָבִיו, אֲבִי"
אבוהן,אֲבִיהֶן
אבוך,אָבִיךָ
אבוך,אביך
אבוכון,אֲבִיכֶם
אבוכן,אֲבִיכֶן
אבונא,אָבִינוּ
אבטליניה,אבטלו
אבידתא,אבידה
אבנא,"אָבֶן, אֶבֶן"
אבני גירים,אבני קלע
אבנין,אֲבָנִים
אבנין קירטא,אבני קלע
אבר,עופרת
אברא,"אמת, נכון הדבר"
אברא,"אמת., אבר, עופרת."
אבראי,בחוץ
אברי,נברא
אברכנך,"אֲבָרֶכְךָ, אברך אותך, אֲבָרְכֶךָּ"
אבתריה,אחריו
אבתרייהו,אחריהם
אגבה,הגבה אותה
אגבהיה,הגביהו
אגדתא,אגדה
אגורו,שִכְרוּ
אגורי,שכירים
אגלאי,התגלה
אגליף,חקק
אגמא,אגם
אגמורי,"למֵד, ללמֵד"
אגמר,אלמד
אגמרה,אלמדנה
אגמרו,לִמדוּ אותם
אגמרוה,לִמדוהו
אגמרון,לַמדוני
אגמריה,"לִמדו, לַמדו"
אגמרך,"לִמדך, אלמדך"
אגמרן,לַמדני
אגן,סָגַר
אגנינהו,השכיב אותם
אגר,שכר
אגר נטר,שכר המתנה
אגרא,שכר
אגרי,"שְׂכָרִי, מַשְׂכֻּרְתִּי"
אגרך,"שְׂכָרֶךָ, מַּשְׂכֻּרְתֶּךָ"
אדביקו,הִשִּׂיגוּ
אדביקנון,השיג אותם
אדברנך,לְקַחְתִּיךָ
אדברת,נלקחה
אדהכי,בינתיים
אדי,הִזה
אדכו,הִטַּהֲרוּ
אדכר,הזכיר
אדכרא,הזכיר
אדכריה,הזכירו
אדליק,הִדליק
אדמי,נדמה
אדמתא,אֲדָמָה
אדניהון,אָזְנֵיהֶם
אדעתא,"על דעת, לשם"
אדרא,דגל
אדרא,חדר
אדרבא,להיפך
אדרבה,"גדולה מזו, להפך"
אדרין,חדרים
אדרעיה,על זרועו
אדתני,עד שהוא שונה.
אהאי,על זה
אהדדי,זה עם זה
אהדדי,"זה על זה, זה את זה, זו על זו, זו את זו"
אהדרינהו,החזיר אותם
אהי,אהיה
אהייא,על איזו.
אהכי,על כך
אהני,"הועיל, (=א הני) על אלה"
אהניא,הועילה
אובא טמיא,קליפת אוב
אובילו,הָבִיאוּ
אוגנא,עיגול
אוגנין,"שוליים מורחבים של פי הכלי, הסל"
