מילה,הגדרה
שיתוף שם,"ביטוי משפת פילוסופית-הראשונים למלה זהה לשתי משמעותיות (או יותר) שונות לגמרי זו מזו homonym)).    (מושג הפוך למושג ""מלה נרדפת"" –    מילים שונות בעלות משמעות זהה)."
אִידֵיאה,"רעיון, מחשבה, מהות פנימית, נשמת דבר, צורה שכלית, אמונה."
אִידֵיאי,מושלם
אִמרת־כנף,ביטוי רעיוני
אֶלימינציה,"השמטה, החסרה"
א־ערכי,חסר סולם ערכים
אבולוציה,תהליך התפתחות הדרגתי
אבסולוטיזם,"מוחלטות, פסקנות, החלטיות."
אבסורד,חוסר היגיון
אגרסיבי,אלים
אד,הוק –לשם כך. לזה. לעניין מסוים מאד.
"אדְמתנות (מלה של רש""ט גפן)","גיאולוגיה, חקר האדמה"
אובייקטיבי,"מדעי, נמדד בסרגל ושעון, לא מושפע מדעה אנושית"
אובססיבי,כפייתי
אובססיבית,באופן כפייתי. בדחף פנימי בלתי נשלט.
אובססיה,"מחשבה, רגש או פעולה כפייתית החוזרת כל הזמן, אינה נעימה, גורמת לחרדה, אך לא ניתן להיפטר ממנה."
אוטודידקטי,לימוד בכוחות עצמו.
אוטונומי,"עצמאי, פנימי"
אוטונומיה,אי-תלות. אי-שיעבוד.
אוטוריטטיות,"מנהיגיות, סמכותיות."
אולטימטיבית,החלטית.
אונטולוגי,"הוויתי, שקשור להוויה כולה"
אונטולוגיה,תורת יש כפי שהיא משתלשלת ממקורה.
אוניברסאלי,"כללי, שייך לכלל האנושיות, מקיף, אינו מיוחד לעם או לתרבות ספציפית."
אונתולוגיה,תאוריה על טבע הקיום.
אוסמוזה,השוואת ריכוזים
אופטימום,האופן המיטבי
אורגן,ביטאון.
אורגניות,מערכת (כשל גוף חי) מחוברת בקשר-חי אמיץ.
אוריינטציה,"גישה, יכולת התמצאות בסוגיה | כיוון, מגמה, נטיה, גישה."
אותנטי,"אמיתי, מקורי"
אותנטיות,"מקוריות, אורגינאליות, באופן לא מזויף, ראשוניות."
אחרונה,"תכליתית, כללית, מוחלטת"
אטמוספירה,אווירה
אידיאולוגי,רעיוני
אידיאולוגיה,עמדה רעיונית
אידיאל,חזון
אידיאליסטי,פועל למען רעיון כללי גדול
אילוסטרציה,"המחשה, ציור, הדגמה מאוירת, ביאור בעזרת תמונה."
אימַנֶנְטי,טבוע בפנימיות
אימפוטנציה,חוסר אונים. חלישות.
אימפולסיבי,מושפע מדחפים
אימפקט,"השפעה, רושם."
אימפרוביזציה,אילתור. עשייה ללא הכנה מוקדמת.
אינדיוידואליות,פיתוח היחודיות שבכל אדם
אינדיקציה,"סימן, רמז"
אינהרנטי,"טבוע פנימי, טבעי."
אינטֵרֵס,ענין
אינטואיטיבי,"באינטואיציה – בהבנה מידית בתחושה-פנימית באופן בלתי אמצעי, בקליטה דרך חוש בלא עיון ."
אינטואיציה,"תפיסה טבעית, טביעת עין, ידיעה בלתי אמצעית"
אינטלגנטיים,"משכילים, חכמים, בעלי יכולת תפיסה"
אינטלקטואל,איש רוח
אינטלקטואלי,"שכלי, עיוני"
אינטראקציה,"קשר, פעולת גומלין, השפעה הדדית, פעולה זה על זה."
אינסטינקטיבי,של הדחפים הטבעיים
אינפנטילי,ילדותי
אינקַרְנַצְיה,"התגשמות, התגלות, הופעה. גלגול ""הרוח-האלוהית"" לכלל ""בשר"" אנושי."
אירוניה,"משמעות הפוכה למה שנאמר, היתוליות, ציניות, לעגנות, לגלוג."
אירציונלי,"לא הגיוני, אינו נתפס באופן שכלי."
אכזיסטנציאליזם,"גישה לפיה הפילוסופיה מתחילה באדם הפרטי, החי, המרגיש והפועל."
אכספנסיביות,שאיפה להתרחב
אלטרואיזם,ויתור על הפרט למען הכלל
אלטרנטיבה,חלופה
אלמנטים,יסודות
אלמנטרי,"יסודי, הפשוט ביותר"
אמוציונאלי,רגשי
אמפירי,"מבוסס על ניסויים | נסיוני, מבוסס על תצפיות."
אמפתיה,"הזדהות נפשית חיובית בין ידידים (לעבודה וכד'), קשר נפשי של חיבה וזיקה הדדית. אהדה."
אנכרוניזם,"מנהג או השקפה שהתיישנו, שאינם מתאימים לתקופה."
אנלוגי,"דומה, מקביל."
אנלוגיה,השוואה
אנליטי,מנתח ומחלק (שכלית)
אנקדוטה,סיפור קצר מרשים
אנרכיה,"אי-סדר, הפקרות, חוסר ארגון, חוסר שליטה. היעדר חוק."
אנרכיזם,תנועה חברתית השוללת כל כפיה. התנגדות לשלטון כפייתי.
אנתרופולוגי,"המבוסס על חקר חברות, חקר תרבות."
אנתרופולוגיה,מחקר חברה
אסוציאטיבי,עולה בדמיון לאור קשר בין מושגים דומים
אסוציאציות,"גרירת רעיונות, קשר רעיונות."
אסטרונומיה,מדע הכוכבים
אסכולה,שיטה הגותית
אספסוף,ההמון האנושי
אספקט,"הבט, נקודת מבט. זוית ראיה. פן."
אסתטי,"יפה, נאה"
אסתטיקה,תורת החן והיופי
אפוסטריורי,"דיעבדי, לאחר מעשה"
אפריורי,"לכתחילי, לפני הניסיון, לא תלוי בחוויות חושיות או בהתבוננות מקדימה"
אפתיה,חוסר התעניינות בכל
אקוויוולנטי,שווה ערך. שקול.
אקוויוולנטיים,שווים
אקזיסטנציאליזם,"קיומיות, הפילוסופיה של הקיום. ראיית האדם כסך כל מעשיו, ראיית העובדות כקודמות."
אקס־,חוץ־
אקסטזה,התלהבות עד כדי שכחה עצמית
אקספרימנטאלי,נסיוני.
ארכיטיפ,"(בפסיכולוגיה של יונג) דימוי קדום משותף לבני אדם, מעין יסוד ראשוני המרכיב תת-מודע קולקטיבי. חוויה שהאנושות, על תרבויותיה השונות, חוותה, שנשמרה כמשקע בזיכרון הקולקטיבי האנושי. הפרט בחייו הפרטיים, מושפע לא רק מהתרחשויות ההווה שהוא שותף להן, כי אם גם לאותם דימויים קדומים מעברה של משפחת האדם."
אתוס,"סך כל קווי האופי התרבותיים הסגוליים, המבדילים קבוצה אחת של בני אדם מקבוצות אחרות."
בוטני,ששייך לתחום הבוטניקה – ענף בביולוגיה העוסק בחיי הצמחים
ביולוגי,"ששייך לתחום הביולוגיה, למדע העולם החי – ענף במדעי החיים העוסק בחקר חיי הצמחים ובעלי החיים"
בפיסיקה: כאשר גלים נפגשים הם מתחברים,מתאבכים.
גֶמַה,מדיה.
גולמי,שלא נגמר עיבודו
גיליוטינה,במה להתזת ראשים. מתקן להפרדת הגולגולת מהגוף בה השתמשו בהוצאות להורג במהפכה הצרפתית.
גלגול מחילות,"יקו""ש ישעיה פרק כו רמז תלא: ""יחיו מתיך"": אלו המתים שבארץ ישראל, ""נבלתי יקומון"": אלו המתים שבחוצה לארץ ועל ידי גלגול מחילות שהקב""ה עושה להם מחילות מחילות בקרקע. כתובות קיא.: ""ורוח להולכים בה"" (ישעיה מב ה) א""ר ירמיה בר אבא אמר רבי יוחנן: כל המהלך ארבע אמות בארץ ישראל מובטח לו שהוא בן העולם הבא. ולר' אלעזר צדיקים שבחוץ לארץ אינם חיים? אמר רבי אילעא: ע""י גלגול. (מתגלגלין העצמות ובאים עד שהן מגיעין לא""י, ושם הקב""ה נותן להם רוח חיים והן עומדין). מתקיף לה ר' אבא סלא רבא: גלגול לצדיקים צער הוא. אמר אביי: מחילות נעשות להם בקרקע (ועושה אותן כמערות הללו והן עומדים על רגליהם והולכים במחילות עד א""י ושם מבצבצין ויוצאים)."
גלדי בצלים,קליפות בצלים
גרידתא,לבדה
דֶקָדֶנְטי,מנוּון
דה,הומניזציה – התיחסות לבני-אדם באופן המגביל להם את האיכויות האנושיות.
דה־קונסטרוקציה,שיטה בפילוסופיה ובספרות החותרת תחת מבנים של משמעות בטקסט עצמו.
דוֹגְמָה (מלעיל),הנחה מוסכמת שאין לערער עליה
דוֹקְטְרינה,"שיטה, תורה"
דטרמיניסטי,הכרחי
דיאמטראלי,המנוגד מן הקצה אל הקצה.
דיאמטרלי,בשני קצוות מנוגדים
דיכוטומיה,פיצול
דילטנטי,"חובבני, שטחי, חוסר ידיעת דבר על בוריו."
דילטנתי,"שטחי, חובבני"
דיסהרמוניה,חוסר התאמה
דיפרנציאציה,"הפרדה, הבדלה."
דלטוניזם,עיוורון לצבעים מסויימים
דמגוגי,מכוון לרגשות המאזין
"דמונים, דמון","שד, רוח-רפאים, מלאך-משחית, מפלצת, שטן, מזיק."
דקדנטיות,התנוונות.
דקדנס,שקיעת תרבות והתנוונותה.
הֶגְמוֹניה,"שלטון עליון, מנהיגות, דומיננטיות."
הדוניזם,"שיטה פילוסופית, שראשיתה ביוון הקדומה הרואה כיסוד וכתכלית בחיי-אדם ובמעשיו את התענוגות, את ההנאה ואת שמחת החיים."
הדוניסטי,נהנתני. רודף תענוגות ושובע.
הומניזם,תנועה שעיקרה פיתוח הרוח האנושי ועידונו על ידי טיפוח אומנות ומדע חופשי. | תנועה רוחנית הדוגלת בפיתוח הרוח האנושית.
הומניסטי,אנושי ואוהב הבריות
היררכיה,סולם דרגות חשיבות | סולם דרגות. מדרג.
הלוציניטורי,הזייתי. שיגיוני.
הרמינויטיקה,תורת הפרשנות.
התאבכות,"היתמרות, עלייה מעלה של רוח."
וַריאציה,"צורה, אופן"
זואולוגי,ששייך לתורת החי – ענף בביולוגיה העוסק בידיעת בעלי החיים
זיז הכבוד,"עפ""י ישעיה סו יא. רש""י: זיז כבודה - מכבוד גדול הזז וממשמש לבא לה."
זכרון קולקטיבי,"זיכרון המובנה, מועבר ומשותף לכלל החברה."
חוג,תחום
חילונית,של חול
חלכאים,"מסכנים, אומללים, מדוכאים, עלובים, קשי-יום, חסרי-כל, אביונים."
טאבו,הקדש. איסור חברתי.
טוטליטרי,"רודני, דיקטטורי, משטר מדכא."
טכנולוגיה,מכלול האומנויות התעשייתיות והשימושיות
טכני,"מעשי, שימושי"
טכניקה,שיטת פעולה
טענה אפריורית,שלא צריך עבורה ידע קודם
טרגית,"טרגי – מזעזע, זוועתי, נוגה, מעורר עצב."
טריוויאלי,פשוט ושגרתי
יֵינֶה,"עיר בגרמניה שנתפרסמה בזכות האוניברסיטה הידועה שלה, שם פעלו רבים מיוצרי הבילדונג הגרמני."
יוֹנְיָה,"אִיוניה העתיקה. אזור ביוון העתיקה    (שייך כיום לתורכיה, דרום מערב אסיה הקטנה). מקום הולדתו ופעולתו של הומרוס המשורר המיתי הגדול של יוון. וכן מקומם תלס, ראשון הפילוסופים היווניים, ואחריו של רבים מהפילוסופים והפיזיקאים של יוון. בגלל מיקומה במרכז האימפריה ובזכות נמליה ההומים, הפכה יוניה לאחד מהמרכזים הגדולים של התרבות הרומאית."
יקום גאוצנטרי,יקום שכדור הארץ במרכזו
כרוניקה,רישום מאורעות על פי סדר התרחשותם. היסטוריה כרונולוגית.
לא,"מודע-קולקטיבי – ""תת מודע קולקטיבי"" הוא מונח שטבע הפסיכולוג קרל יונג לציון הרובד התת-מודע המשותף, לכל בני האדם. תת-המודע-הקולקטיבי כולל אוצר חוויות שהצטברו במשך דורי דורות של קיום הגזע האנושי, ונשארו כעקבות זיכרון ברוח האדם. עקבות זיכרון עוברים בתורשה ומושרשים ברוח האדם כנטיות מולדות להגיב או להתנהג בצורות מסוימות, בהתאם לתרבות ולמורשת שבהן נולד. בעקבותיו טבע קלוד לוי שטראוס את ה""לא מודע קולקטיבי"": כמערכת של חשיבה שנמצאת מאחורי ההתנהגויות שלנו."
לגיטימי,"קביל, ראוי"
לגיטימיוּת,תוקף חוקי
לגיטימציה,מתן חוקיות. אישור. היתר. הכשר.
לוגי,הגיוני
לוגיקה,היגיון
לויאליות,"נאמנות, ציות לחוק, מהוגנות, שמירת אמונים."
מְיַשֵׁן,מרדים
מְשוּקים,"מושקים, מורווים"
מָהוּהָ,"שחוק ובלוי, מרופט"
מדמדם,מְטשטש ומערפל
מוטיבציה,הנעה פנימית
מומנט,מכפלת הכוח בזרוע.
מונוטוניות,חד־גוניות
מונופול,שליטה
מוניסטית,"מוניזם – שיטה בעלת עיקרון אחד, שאינו מכיר בגוונים שונים המבטאים את הכללות האורגנית החיה."
מוראותיהם,"מלשון ""מורה מאד"" – מיצר מאד. ויש פותרים: מורה מאד, ירוד מאד. (רש""י)."
מטפיסיקה,עיסוק במהות הטבע
מטריאליזם,גישה פילוסופית אשר רואה בחומר את המציאות היחידה הקיימת והמרכיבה ומפעילה את היקום.
מיליטנטיות,לוחמנות
מינף,השתמש כמנוף. הניף.
מיסטיפיקציה,"אשליה, עטיפת ענין בסודיות יתרה"
מיתוס,"אגדה, סיפור אגדי, מסורת מופלאה, סמל."
מיתית,"מיתולוגית, של כוחות (אלים) שונים"
מנטליות,הלוך הדעות.
מנטרה,מלה שחוזרים עליה שוב ושוב
מניפולאציה,תחבולת ערמה.
מניפולטיבי,ערמומי
מסה,"חיבור ספרותי, מאמר, מחקר, רשימה."
מסך,"מזג, משקה מעורבב."
מקאברית,"מבעית, מזוויע, מעורר חלחלה, מזעזע, מחריד."
מקיַאוֶליזם,"תורתו המדינית של המדינאי והמשורר האיטלקי ניקולו מאקיאוולי    (ה'תכ""ט – ה'תפ""ז), שלימד בספרו ""הנסיך"", כי כל האמצעים כשרים, אם יש בהם כדי להגדיל ולהאדיר את כוחו של המושל על נתיניו: למושל מותר לרמות, לשקר, לבגוד ולהתאכזר ולרמוס כל מוסר ויושר לשם השגת מטרתו."
מרובבים,מרובים
משׂוֹרג,מחובר וקשור
מתאמרת,מתפארת
מתודה,"שיטה, אופן פעולה, דוקטרינה."
נאיבי,תמים
נאציונאל,סוציאליסטית – נאצית.
נבוב,חלול
נגזרת,"תולדה,    תוצר, השתלשלות, הסתעפות."
נואל,טפשי
נון,קונפורמיסטיות – שלא בהתאם לזרם. שלא בהתאם למוסכמות.
נורמטיבי,"רגיל, מקובל, סטנדרטי, נורמאלי."
נחשל,"מפגר, לא מפותח"
ניהיליזם,"תפיסה ששוללת כל ערך קיים ומקודש, ספקנות בַּכל | שלילת ערכים, כללים, חוקים, מנהגים ומסורות."
ניואנסים,שינויים קלים
נמהר,פזיז
נמוג,מתנדף
נקודה ארכימדית,"נקודת האחיזה למומנט הכח, דבר היכול לשמש יסוד ומנוף לפעולה קיימת."
נראטיב,"סיפור, פרשנות של היבט מסוים של העולם, המעוצבת דרך נקודת מבט תרבותית או אישית."
נרקיסם,מצב חולני של התאהבות האדם בעצמו;    הערצה עצמית מופרזת; התפנקות מופרזת.
סְטְרֶקְטוּרה,מבנה
סהרוריות,שקיעה בהזיות
סובייקטיבי,"אישי, מושפע מדעה אנושית"
סולידיים,שקולים ורציניים
סוליפסיסטי,"בלבדי, קיים בלבדיותו."
סוציאלי,ששייך לחברה האנושית
סוציולוגי,שייך למדעי החברה. תורת מבנה החברה.
סוריאליזם,מעל המציאות. על-מציאותיות הזויה (המערערת על המציאות הממשית).
סטגנציה,"קיפאון, עמידה במקום"
סטיכיה,"איתן-טבע עצום, שאין בכח האדם לבלמו. בהשאלה: כח בלתי-מאורגן ובלתי-מכוון בחיים הציבוריים."
סטריאוטיפ,הכללה הנוגעת למאפיינים של קבוצה חברתית
סיטואציה,"מצב, מערכת של תנאים ונסיבות, רקע להתרחשות"
סימולציה,הדמיה. משחק תפקידים.
סינטטי (טענה סינטטית),שיכולים להשיג בעזרתה ידע חדש
סינקרֶטיזם,"מונח יווני, שנתחדש במאה הי""ד, לשיטה פילוסופית הרוצה ומחפשת את האיחוד. שיטה המתבססת על הרעיון שכל הדתות, כל הפילוסופיות הן התגלויות של הרוח האלוהי האחד. כדי שתוכל למצוא שוב את האמת האלוהית החבויה והסודית, עליך לחפש את המשותף בכל הדעות הפילוסופיות, בכל התורות והמצוות של הדתות.. הניגודים הם רק פרי אי-הבנות של המסבירים; לאמתו של דבר, היתה ההכרה של האדם, בכל מקום ובכל זמן, הכרה אחת. שורשה ברעיון האחדות של השכל האנושי."
סינתזה,"מזיגה, איחוד, הכלאה."
ספונטאני,"טבעי, לא מתוכנן מראש"
ספונטאניות,התעוררות טבעית
ספקטרום,גיוון
סצֵינה,חלק ממערכה במחזה
סקוטומה,ברפואה: נקודת עיוורון. אזור בשדה הראיה בו הראיה חלשה מאד או שאינה קיימת. לכל אדם יש כתם עיוור בשדה הראיה של כל עין בגלל הימצאותו של הדיסק האופטי שאינו רגיש לאור.
על פי סדר הא',ב'
פְּרוֹיֶקְציָה,"היטל, השלכה"
פֵיאוֹדָלִי,של האצולה השלטת
פָּתוֹס,הבעת התרגשות מוגזמת בטון הדיבור
פְּסֶבְדוֹ־ (גם: פְּסֵידוֹ־),"כאילו־ (פסבדו־הוגים = הוגים מדומים, מזוייפים)"
פאסֶה,"מיושן, לא עדכני"
פאסיבי,נפעל
פוזיטיביזם־לוגי,שיטה פילוסופית לפיה רק קביעות המבוססות על תצפית אמפירית הן בעלות משמעות.
פולקלוריסטי,"הווי עם, מסורת, ידע עם."
פונדמנטליזם,"גישה הנסמכת על הכתבים, יסודיות שמרנית"
פונדמנטליסט,"קנאי ובלתי מתאים למתהווה, לתנועות אקטואליות"
פוסט־מודרניזם,"התפיסה שהתפכחה (לטענתה) מהשגיאה של ה""מודרנה"" וטוענת בין היתר שאין אמת מוחלטת שניתן להצביע עליה."
פופולרי,מקובל בציבור
פורמט,תבנית.
פורמלי,"רשמי, מקובל."
פורמליזם,הקפדה יתירה על הצורה. דבקות בכללים מקובלים.
פורמלין,"תמיסה משמרת, בה משמרים פוחלצים."
פטֵרְנאלי,בעלותי
פטרון,"אדון, אפוטרופוס."
פטרנאלית,"מנחה אבהית, אדונית."
פילולוגיה,"בלשנות, חקר תולדות הלשון"
פילולוגית,לשונית
פיסי,ששייך לתחום הפיסיקה – המדע העוסק במצבים ובצורות התנועה של החומר
פיקנטריה,"גירוי בטעם, אי-תפלות."
פלורליזם,"אמונה בריבוי יסודות, הרואה בריבוי דעות, כיתות, שוֹנוּת, אידיאל תכלית ומטרה."
פנומנלי,יוצא מגדר הרגיל
פסבדו,"קידומת מילה שמשמעותה, דֶמִי."
פסיכוטיות,חולניות נפשית.
פסיכולוגי,שייך לתחום הנפשי
פסיכולוגיה,"תורת הנפש, מדע העוסק בחקר התהליכים הנפשיים באדם"
פסיכופתולוגי,שייך לתחום מחלות הנפש
פסיכופתיות,"הפרעה נפשית, מחלת-רוח."
פסיכי,"נפשי. שייך לרוח, חוויתי."
פסיכיקה,"נפשיות, רוחניות חוויתיות."
פסיכיקה סטיכית,"נפשיות אדירת כח הפועלת בחברה באופן בלתי מאורגן, מעבר למציאות של מישהו שחושב, או אף מודע לכך."
פרגמטי,"מעשי, שימושי, תכליתי. יישומי."
פרגמטיזם,שיטה פילוסופית לפיה האמת נמדדת על פי תכליות מעשיות.
פרובוקטור,"מעורר פרובוקציה, מקנטר, מתגרה."
פרובוקטיבי,"מקנטר, מתגרה."
פרובינציאלי,"תמים ונבער, קרתני"
פרוגרסיביות,"צעידה קדימה, קידמה, מודרניזציה, אי-שמרנות."
פרודיה,"חיקוי, היתול, בדיחה, לעג, קריקטורה."
פרוורסיה,"סילוף, עיוות, סירוס, שינוי, סטייה, נליזה, נטיה לא נורמאלית, שיגעון."
פריזמה,מנסרה
פרימט,ראשוניות במעלה.
